,Unnamed: 0,Date,Store Name,Address,City,Zip Code,Store Location,Vendor Name,Item Number,Item Description,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Year,Total Bottles Sold
25105,105098,04/27/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Luxco-St Louis,45277,Paramount White Rum,1000,$4.34,$6.51,24,$156.24,24.0,2015,
25204,105529,11/16/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Mccormick Distilling Company,28350,Broker's London Dry Gin,750,$9.34,$15.01,1,$15.01,0.75,2015,
25532,106783,11/04/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,88536,Sauza Blue Silver,750,$11.02,$16.53,12,$198.36,9.0,2015,
25665,107341,11/09/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Campari(skyy),64636,Campari Italian Aperitivo,750,$15.00,$22.50,2,$45.00,1.5,2015,
26143,109410,09/14/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Heaven Hill Brands,40331,Deep Eddy Sweet Tea,750,$9.00,$13.50,1,$13.50,0.75,2015,
26147,109428,05/13/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Luxco-St Louis,36307,Hawkeye Vodka,1000,$4.05,$6.08,48,$291.84,48.0,2015,
26222,109773,06/08/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Fifth Generation Inc.,38177,Titos Handmade Vodka,1000,$11.92,$17.88,36,$643.68,36.0,2015,
26653,111624,10/07/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,34457,Ketel One Imported Vodka,1000,$17.50,$26.25,12,$315.00,12.0,2015,
27261,114275,06/17/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Constellation Wine Company, Inc.",11777,Black Velvet,1000,$6.63,$9.95,12,$119.40,12.0,2015,
27272,114325,04/01/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,69947,Rumple Minze Peppermint Schnapps Liqueur,1000,$15.75,$23.63,12,$283.56,12.0,2015,
27357,114649,01/07/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,5329,Johnnie Walker Blue,750,$130.00,$195.00,1,$195.00,0.75,2015,
27592,115675,03/18/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Bacardi U.S.A., Inc.",66836,St. Germain,750,$19.50,$29.25,6,$175.50,4.5,2015,
27666,115973,11/20/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Sazerac Co., Inc.",69657,Dr. Mcgillicuddy's Mentholmint,1000,$11.00,$16.50,12,$198.00,12.0,2015,
27839,116683,04/13/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,19477,Maker's Mark,1000,$22.04,$33.06,12,$396.72,12.0,2015,
28005,117416,07/29/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,10807,Crown Royal Regal Apple,750,$15.00,$22.50,24,$540.00,18.0,2015,
28218,118371,08/17/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,35626,Pinnacle Whipped,750,$6.88,$10.82,12,$129.84,9.0,2015,
28299,118701,06/22/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Luxco-St Louis,86251,Juarez Triple Sec,1000,$2.42,$3.63,36,$130.68,36.0,2015,
28400,119130,08/12/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","WILLIAM GRANT AND SONS, INC.",5635,Monkey Shoulder,750,$17.50,$26.25,2,$52.50,1.5,2015,
28527,119672,11/18/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,5696,Oban Single Malt Scotch,750,$40.50,$60.75,2,$121.50,1.5,2015,
28578,119901,02/04/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Brown-Forman Corporation,86887,Southern Comfort,1000,$12.48,$18.72,12,$224.64,12.0,2015,
28903,121210,05/18/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Luxco-St Louis,86251,Juarez Triple Sec,1000,$2.42,$3.63,60,$217.80,60.0,2015,
29031,121784,06/01/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Santa Fe Tequila Company,88582,Silvercoin,750,$20.21,$30.32,1,$30.32,0.75,2015,
30009,125979,02/18/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Sazerac Co., Inc.",69657,Dr. Mcgillicuddy's Mentholmint,1000,$11.00,$16.50,12,$198.00,12.0,2015,
30093,126358,01/07/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Brown-Forman Corporation,26827,Jack Daniels Old #7 Black Lbl,1000,$17.90,$26.85,48,$1288.80,48.0,2015,
30599,128464,04/27/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,69947,Rumple Minze Peppermint Schnapps Liqueur,1000,$15.75,$23.63,12,$283.56,12.0,2015,
30659,128740,09/21/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Bacardi U.S.A., Inc.",66836,St. Germain,750,$20.00,$30.00,6,$180.00,4.5,2015,
30848,129543,03/30/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Luxco-St Louis,30527,Hawkeye Gin,1000,$4.23,$6.35,12,$76.20,12.0,2015,
31013,130220,07/22/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Sazerac Co., Inc.",83907,Maui Blue Hawaiian Schnapps,1000,$4.54,$6.81,12,$81.72,12.0,2015,
31083,130492,04/08/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,11297,Crown Royal Canadian Whisky,1000,$18.50,$27.75,12,$333.00,12.0,2015,
31137,130733,04/27/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,19477,Maker's Mark,1000,$22.04,$33.06,12,$396.72,12.0,2015,
31291,131399,10/05/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Bacardi U.S.A., Inc.",28233,Bombay Sapphire Gin,1000,$16.50,$24.75,12,$297.00,12.0,2015,
31361,131697,02/23/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Moet Hennessy USA, Inc.",34162,Belvedere Vodka,1000,$20.63,$30.95,6,$185.70,6.0,2015,
32050,134692,02/11/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,19477,Maker's Mark,1000,$22.04,$33.06,24,$793.44,24.0,2015,
33518,140787,06/24/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,82867,Dekuyper Watermelon Pucker,1000,$7.62,$11.43,24,$274.32,24.0,2015,
33654,141348,09/23/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Campari(skyy),64636,Campari Italian Aperitivo,750,$15.00,$22.50,2,$45.00,1.5,2015,
33755,141722,03/23/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,64716,Ciroc Peach,750,$19.00,$28.50,2,$57.00,1.5,2015,
34041,142861,04/20/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Proximo,34995,Three Olives Grape Vodka,750,$9.96,$14.94,36,$537.84,27.0,2015,
34173,143437,02/18/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,10818,Crown Royal Maple,750,$15.00,$22.50,2,$45.00,1.5,2015,
34298,143943,09/28/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Phillips Beverage Company,41694,Uv Blue (raspberry) Vodka,1000,$7.50,$11.25,12,$135.00,12.0,2015,
34575,145031,10/07/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Sazerac North America,35318,Barton Vodka,1750,$6.92,$10.38,12,$124.56,21.0,2015,
34590,145110,03/16/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,10627,Canadian Club Whisky,1000,$9.71,$14.57,12,$174.84,12.0,2015,
34703,145584,09/14/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,35780,Pinnacle Cake Vodka,750,$7.88,$11.82,2,$23.64,1.5,2015,
34756,145810,01/26/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,43338,Captain Morgan Spiced Rum,1750,$18.00,$27.00,6,$162.00,10.5,2015,
35338,148053,02/18/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Luxco-St Louis,84496,Paramount Strawberry Schnapps,750,$4.75,$7.13,12,$85.56,9.0,2015,
35376,148193,10/19/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Bacardi U.S.A., Inc.",43127,Bacardi Superior Rum,1000,$9.50,$14.25,24,$342.00,24.0,2015,
36685,153452,09/09/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Luxco-St Louis,82127,Arrow Peach Schnapps,1000,$5.00,$7.50,2,$15.00,2.0,2015,
